country,program,min_income_eur,min_savings_eur,language_requirement,education_requirement,work_experience_years,processing_time_official_days,processing_time_real_median_days,quota_annual,path_to_pr_years,path_to_citizenship_years,source_url,last_updated
Portugal,Golden Visa (Investment Fund Route),,500000,None (A2 Portuguese required for citizenship),None,0,180,365,,5,10,https://aima.gov.pt/,2026-02-21T00:00:00Z
Portugal,Startup Visa,,5147,None,None (innovative tech startup project required),0,90,180,,5,10,https://startupportugal.com/programs/startup-visa/,2026-02-21T00:00:00Z
United Kingdom,Skilled Worker Visa,48789,1486,English B1 (CEFR),RQF Level 3 or above (varies by occupation),0,21,45,,5,6,https://www.gov.uk/skilled-worker-visa,2026-02-21T00:00:00Z
United Kingdom,Global Talent Visa,,,None,Endorsement from approved body or qualifying prize (leader/potential leader in field),3,56,90,,3,4,https://www.gov.uk/global-talent,2026-02-21T00:00:00Z
United Kingdom,Innovator Founder Visa,,1486,English B2 (CEFR),"None (endorsement from approved body required; innovative, viable, scalable business plan)",0,21,60,,3,4,https://www.gov.uk/innovator-founder-visa,2026-02-21T00:00:00Z
Netherlands,Highly Skilled Migrant (Kennismigrant) - Age 30+,71256,,None (Dutch integration exam within 3 years of arrival),None (salary threshold is the qualifier),0,14,30,,5,5,https://ind.nl/en/work/working-in-the-netherlands/highly-skilled-migrant,2026-02-21T00:00:00Z
Netherlands,Highly Skilled Migrant (Kennismigrant) - Under 30,52248,,None (Dutch integration exam within 3 years of arrival),None (salary threshold is the qualifier),0,14,30,,5,5,https://ind.nl/en/work/working-in-the-netherlands/highly-skilled-migrant,2026-02-21T00:00:00Z
Netherlands,EU Blue Card,71304,,None (Dutch integration exam within 3 years),Higher education degree (Bachelor's or equivalent),0,14,30,,5,5,https://ind.nl/en/work/working-in-the-netherlands/eu-blue-card,2026-02-21T00:00:00Z
New Zealand,Accredited Employer Work Visa (AEWV),36916,,None (but employer may require English),Varies by ANZSCO skill level of occupation,0,30,60,,2,7,https://www.immigration.govt.nz/visas/accredited-employer-work-visa,2026-02-21T00:00:00Z
New Zealand,Skilled Migrant Category Resident Visa (SMC),36916,,English IELTS 6.5 overall (approx. B2+),Recognized qualification (assessed by NZQA),0,180,365,,0,5,https://www.immigration.govt.nz/new-zealand-visas/visas/visa/skilled-migrant-category-resident-visa,2026-02-21T00:00:00Z
Spain,Digital Nomad Visa (Visado de Teletrabajo),34224,,None,University degree or 3+ years professional experience in field,3,30,90,,5,10,https://www.exteriores.gob.es/Consulados/washington/en/ServiciosConsulares/Paginas/Consular/Telework-visa.aspx,2026-02-21T00:00:00Z
Spain,Highly Qualified Professional Visa (Autorización de residencia para profesionales altamente cualificados),42000,,None,University degree or senior management experience,0,20,60,,5,10,https://www.exteriores.gob.es/,2026-02-21T00:00:00Z
UAE/Dubai,Golden Visa (Skilled Professional Route),90000,,None,Bachelor's degree or equivalent professional qualification,0,30,45,,,,https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa,2026-02-21T00:00:00Z
UAE/Dubai,Remote Work (Virtual Working) Visa,38640,,None,None (proof of current employment or business ownership required),1,15,30,,,,https://www.gdrfad.gov.ae/en/services/64154a31-ec6d-11ec-140b-0050569629e8,2026-02-21T00:00:00Z
Ireland,Critical Skills Employment Permit (with degree),40904,,None (English is working language),Relevant degree qualification for role on Critical Skills list,0,42,90,,2,5,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/permit-types/critical-skills-employment-permit/,2026-02-21T00:00:00Z
Ireland,"Critical Skills Employment Permit (experience-based, no degree)",68911,,None (English is working language),Relevant experience in lieu of degree,2,42,90,,2,5,https://enterprise.gov.ie/en/what-we-do/workplace-and-skills/employment-permits/permit-types/critical-skills-employment-permit/,2026-02-21T00:00:00Z
Sweden,Work Permit (Arbetstillstånd),35258,,None,None (employer must demonstrate need),0,120,270,,4,5,https://www.migrationsverket.se/en/Working-in-Sweden/Employed/Work-permit.html,2026-02-21T00:00:00Z
Sweden,EU Blue Card,48048,,None,Higher education degree (minimum 3 years),0,90,180,,4,5,https://www.migrationsverket.se/en/Working-in-Sweden/Employed/EU-Blue-Card.html,2026-02-21T00:00:00Z
Switzerland,B Permit (Residence Permit for Third-Country Nationals),84000,,None (language depends on canton; B1 in local language recommended),Tertiary education or specialized skills; employer must prove no suitable EU/EFTA candidate,3,56,90,4500,10,10,https://www.sem.admin.ch/sem/en/home/themen/arbeit/nicht-eu_efta-angehoerige.html,2026-02-21T00:00:00Z
Switzerland,L Permit (Short-Stay Permit for Third-Country Nationals),84000,,None,Tertiary education or specialized skills,3,42,70,4000,,,https://www.sem.admin.ch/sem/en/home/themen/arbeit/nicht-eu_efta-angehoerige.html,2026-02-21T00:00:00Z
Thailand,Long-Term Resident (LTR) Visa - Work-from-Thailand Professional,73600,,None,None (but Master's degree helps if income is $40k-$80k USD),5,30,60,,,,https://ltr.boi.go.th/,2026-02-21T00:00:00Z
Mexico,Temporary Resident Visa (Residente Temporal),20622,57276,None,None,0,30,45,,4,5,https://www.gob.mx/tramites/ficha/visa-de-residencia-temporal/SRE187,2026-02-21T00:00:00Z
Japan,Highly Skilled Professional Visa (HSP - 高度専門職),18300,,None (Japanese N1/N2 earns bonus points),Bachelor's degree minimum (Doctorate earns 30 points; Master's 20-25 points),0,14,30,,1,5,https://www.mofa.go.jp/j_info/visit/visa/long/visa16.html,2026-02-21T00:00:00Z
Estonia,Digital Nomad Visa (Type D Long-Stay),54000,,None,None (must prove remote employment or freelance activity),0,30,45,,5,8,https://www.e-resident.gov.ee/nomadvisa/,2026-02-21T00:00:00Z
Singapore,Employment Pass (EP),46368,,None (English is working language),"Good university degree, professional qualifications, or specialist skills",0,21,42,,2,4,https://www.mom.gov.sg/passes-and-permits/employment-pass,2026-02-21T00:00:00Z
Costa Rica,Digital Nomad Visa (Nómada Digital),33120,,None,None (must prove remote employment or freelance work),0,30,60,,,7,https://www.visitcostarica.com/digital-nomads,2026-02-21T00:00:00Z
Malaysia,My Second Home (MM2H) - Silver Tier,,31500,None,None,0,90,180,,,,https://www.imi.gov.my/index.php/en/main-services/malaysia-my-second-home-mmh2-en/,2026-02-21T00:00:00Z
Panama,Friendly Nations Visa (Visa de Naciones Amigas),,184000,None,"None (must have economic tie: employment, real estate, or bank deposit of USD 200,000)",0,90,150,,2,5,https://www.serviciodemigracion.gob.pa/,2026-02-21T00:00:00Z
Austria,Red-White-Red Card (Rot-Weiß-Rot Karte) - Skilled Workers in Shortage Occupations,48510,,German A2 (or A1 with commitment to reach A2 within 2 years),Completed vocational training or relevant apprenticeship in shortage occupation,0,56,120,,2,6,https://www.migration.gv.at/en/types-of-immigration/permanent-immigration/other-key-workers/,2026-02-21T00:00:00Z
Chile,Temporary Resident Visa (Visa de Residencia Temporal),16560,16560,None,None,0,30,210,,2,5,https://serviciomigraciones.cl/,2026-02-21T00:00:00Z
Czech Republic,Employee Card (Zaměstnanecká karta),4632,,None,None (varies by occupation),0,60,120,,5,10,https://www.mvcr.cz/mvcren/article/third-country-nationals-employee-card.aspx,2026-02-21T00:00:00Z
Denmark,Pay Limit Scheme (Beløbsordningen),73968,,None,None (salary is the sole qualifier),0,30,60,,4,9,https://www.nyidanmark.dk/en-GB/You-want-to-apply/Work/Pay-limit-scheme,2026-02-21T00:00:00Z
South Korea,E-7 Visa - Professional (E-7-1),21472,,None (TOPIK scores earn bonus for F-2 transition),Bachelor's degree or relevant professional qualifications,0,30,60,,3,5,https://www.immigration.go.kr/,2026-02-21T00:00:00Z
Uruguay,Rentista Visa (Independent Means Visa),16560,,None,None,0,90,240,,0,5,https://www.gub.uy/tramites/residencia-legal-permanente,2026-02-21T00:00:00Z
