country,programme,processing_days
Bolivia,Visa de Estudiante de Intercambio con Convenio Estatal (Student Exchange Visa — State Agreement) — GRATUITA,30
Bolivia,Visa de Objeto Determinado — Trabajo + Permanencia Temporal (Work Visa + Temporary Residence),30
Bolivia,Visa de Objeto Determinado — Trabajo Transitorio (Transitory Work Visa),30
Bosnia and Herzegovina,Permanent Residence (Stalni boravak),30
Bosnia and Herzegovina,Temporary Residence — Company Founder,30
Bosnia and Herzegovina,Temporary Residence — Education / Study,30
Bosnia and Herzegovina,Temporary Residence — Family Reunification,30
Bosnia and Herzegovina,Temporary Residence — Marriage to BiH Citizen,30
Bosnia and Herzegovina,Temporary Residence — Real Estate Ownership,30
Botswana,Citizenship Application – Settlement,30
Botswana,Citizenship by Descent (born abroad),30
Botswana,Citizenship by Naturalisation,30
Botswana,Investor / Business Residence Permit (BITC route),30
Botswana,Research Permit,30
Brazil,Autorização de Residência - Acordo MERCOSUL (MERCOSUR Residence Agreement),30
Brazil,Autorização de residência para fins de estudo,30
Brazil,Autorização de residência para fins de trabalho,30
Brazil,Cartão de Fronteiriço (Border-Resident Card),30
Brazil,VITEM I — Pesquisador / Professor Universitário (Researcher / Academic),30
Brazil,VITEM IV — Visto Temporário para Estudo (Study Visa),30
Brazil,VITEM VII — Atividades Religiosas ou Serviço Voluntário (Religious Worker / Volunteer),30
Brazil,VITEM XI — Visto Temporário para Reunião Familiar (Family Reunification Visa),30
Bulgaria,Internal corporate transfer,30
Bulgaria,Single residence and work permit,30
Bulgaria,Work Permit,30
Burundi,Visa de résident permanent,30
Canada,Canadian Citizenship by Descent (Born Abroad to Canadian Parent — Section 3),30
Canada,Federal Skilled Trades Program (FSTP) — Express Entry,30
Canada,"Intra-Company Transferee (ICT) — IMP, LMIA-exempt",30
Canada,Significant Benefit Work Permit (Entrepreneur),30
Chad,Naturalisation (Code de la Nationalité Tchadienne) — Ordonnance 33/PG-INT 1962,30
Chad,Residence Card (Carte de Séjour) — 1 year renewable,30
China,Foreign Permanent Resident ID Card — Category 2 Senior Professional / Academic,30
China,Foreign Permanent Resident ID Card — Category 5 Spouse of Chinese Citizen / Foreign PR,30
China,Foreign Permanent Resident ID Card — Category 6 Unmarried Minor Child of Chinese Citizen / PR,30
China,Foreign Permanent Resident ID Card — Category 7 Elderly Dependant Relative (60+),30
China,Foreigner's Work Permit,30
China,J2 Visa — Short-Term Foreign Journalist (≤180 Days),30
China,K Visa — Young Foreign Science and Technology Talent (October 2025),30
China,"X1 Visa — Long-Term Study (>180 Days, Degree Programmes)",30
Colombia,Audiovisual and/or digital production,30
Colombia,Carta de Naturalización — Vía Latinoamericano/Caribeño (1 año),30
Colombia,Colombian citizenship,30
Colombia,Journalistic coverage,30
Colombia,Parent or child of Colombian national by adoption,30
Colombia,Visa M Comunidad Andina — Trabajador Migrante Andino,30
Colombia,Visa M Padre/Madre o Hijo(a) de Colombiano(a) por Adopción,30
Colombia,Visa V Religioso,30
Costa Rica,"Categoría especial de estudiantes, investigadores, docentes y voluntarios y sus depedientes",30
Costa Rica,Permanent Residence,30
Costa Rica,Residencia Permanente,30
Croatia,"Seasonal Worker Permit (agriculture, forestry, hospitality, tourism)",30
Cyprus,EU Blue Card,30
Cyprus,Long-Stay National Visa (Type D),30
Cyprus,Long-term Residents,30
Czechia,"Citizenship by Birth / Origin (jus sanguinis, §4 Act 186/2013)",30
Denmark,EU residence document,30
Denmark,Fast-Track Scheme,30
Denmark,Fast-Track Scheme: Pay Limit Track,30
Denmark,Guest researcher,30
Denmark,Herdsman or farm manager,30
Denmark,Intra-Corporate Transferee (ICT),30
Denmark,Job-Seeking Permit (graduate / post-permit),30
Denmark,Long-Stay Visa D,30
Denmark,Pay Limit Scheme (Beløbsordningen),30
Denmark,PhD student,30
Denmark,Positive List for People with Higher Education,30
Denmark,Positive List for Skilled Work,30
Denmark,Researcher,30
Denmark,Special individual qualifications,30
Denmark,The educational track,30
Denmark,The researcher track,30
Denmark,The short-term track,30
Denmark,Trainee Permit,30
Denmark,Trainee scheme,30
Djibouti,Carte de Séjour (Residence Card) — 1 year renewable,30
Dominica,Student Visa / Permit,30
Dominican Republic,"Plan Nacional de Regularización de Extranjeros — PNRE (Decreto 327-13, Ley 169-14)",30
El Salvador,Residencia Temporal Religiosos,30
El Salvador,Residencia Temporal Representante Comercial,30
El Salvador,Residencia por Reagrupación Familiar (cónyuge/hijos de salvadoreño),30
Estonia,Digital Nomad Visa,30
Estonia,Residence Permit for Study,30
Estonia,Residence Permit for a Permanent Resident,30
Estonia,Residence permit for a family member,30
Estonia,Temporary Residence Permit for Intra-Company Transfer,30
Eswatini,EMPLOYEES PART I,30
Ethiopia,Government Institutions Short Task Visa - GIV,30
Finland,Residence permit application for Working Holiday,30
France,Carte de séjour temporaire « stagiaire »,30
France,Carte de séjour « retraité » (10 ans),30
Gambia,Expatriate Quota,30
Georgia,Permanent Residence Permit,30
Georgia,Residence Permit for Indefinite Stay,30
Georgia,Residence Permit for the purpose of Family Reunification,30
Georgia,Residence Permit of a Former Citizen of Georgia,30
Georgia,Study Residence Permit,30
Germany,EU Blue Card — IT Specialist without Formal Qualification (§18g AufenthG),30
Greece,Autonomous Residence Permit,30
Greece,"EU Blue Card (Law 4251/2014, art. 114)",30
Greece,"Exceptional reasons / Seven-year residence, Article 31, paragraph 4 (Law 4540/2018)",30
Greece,Family Members of Third-Country Nationals - Spouse Article 72 (Law 4251/14) / Initial Issuance with a type D visa,30
Greece,"Independent Economic Activity - Article 138, paragraphs 3 and 7 (Law 4251/14) - Renewal",30
Greece,Permanent Residence of Family Members of Greek Nationals (10 years) Article 83 (Law 4251/14) - Initial Issuance,30
Greece,Scholarship Holders article 45 (Law 4251/14) / Issuance,30
Greece,Work permit - Dependent employment - Agriculture (E4),30
Greece,Έγκριση απασχόλησης-Άδεια ενδοεταιρικής μετάθεσης (Ε2),30
Guatemala,Permisos de Trabajo de Personas Extranjeras,30
Guyana,Registration as a Citizen of Guyana – Minor,30
Guyana,Student Visa on Arrival,30
Iceland,Residence permit for volunteers,30
Iceland,Residence right of family members of EEA/EFTA citizens,30
India,Intern Visa,30
India,Overseas Citizenship of India (OCI),30
Indonesia,Visa Keluarga Anak Dengan Orang Tua WNI,30
Indonesia,Visa Keluarga Anak Pemegang ITAS/ITAP,30
Indonesia,Visa Keluarga Orang Tua dari Anak Pemegang ITAS/ITAP,30
Indonesia,Visa Kerja Rohaniwan,30
Indonesia,Visa Pertukaran Pelajar,30
Ireland,Short Stay C Visa (Study),30
Italy,LAVORO SUBORDINATO - SPETTACOLO,30
Italy,MISSIONE,30
Italy,Right to permanent residence,30
Italy,Study - Vocational training,30
Japan,家族滞在（Dependent）,30
Japan,留学,30
Jordan,Work Residency,30
Jordan,Work Visa,30
Kazakhstan,Obtaining the status of «kandas»,30
Kuwait,"Business, Industry, Skilled Labour Residence Article 19",30
Kuwait,Govt. Residence Article 17,30
Latvia,Child born abroad if one or both parents are Latvian citizens at the time the birth of the of child,30
Latvia,Employment contract or company agreement,30
Latvia,Religious activity,30
Latvia,a spouse and minor child of a foreigner who stays in Latvia on the basis of the temporary residence permit,30
Lithuania,EU Blue Card in Lithuania,30
Lithuania,Ilgalaikis gyventojas,30
Lithuania,Leidimas laikinai gyventi,30
Luxembourg,Staying in Luxembourg for more than 3 months as a third-country national and family member of an EU citizen or Luxembourg national,30
Malawi,Temporary Employee Permit,30
Malta,Self-Employment,30
Malta,Student Visa,30
Marshall Islands,RMI Citizenship by Birth / Descent (Citizenship Act 1984),30
Marshall Islands,"RMI Citizenship by Naturalization (10-year, Citizenship Act 1984)",30
Marshall Islands,Residence VISA (R-1),30
Mauritania,La résidence pour motif du travail,30
Mauritius,Residence Permit for Internship,30
Mexico,Visa de Residencia Temporal,30
Mexico,Visa de Residente Temporal Estudiante,30
Micronesia,Dependent Entry Permit,30
Micronesia,Expatriate Worker Authorization Permit,30
Micronesia,Foreign Investor Permit,30
Micronesia,Foreign Official Permit,30
Micronesia,Researcher Permit,30
Moldova,Foreigners Working in Free Economic Zones,30
Moldova,Highly Qualified Workers,30
Moldova,"Humanitarian, Religious or Volunteer Activities",30
Moldova,Migrant Workers,30
Moldova,Posted Workers,30
Moldova,Studies,30
Moldova,VIZA DE LUNGĂ ŞEDERE (TIP D) - Angajare în muncă D/AM,30
Nepal,Residential Visa,30
Nepal,Working Visa,30
Netherlands,European Blue Card,30
Netherlands,Residence permit economically inactive long-term EU resident,30
Netherlands,Residence permit for minor child to stay with parent,30
Netherlands,Residence permit for partner,30
North Macedonia,Approval of permanent residence,30
North Macedonia,Temporary Residence Permit for Work Purposes,30
Pakistan,Journalist Visa,30
Pakistan,Study Visa,30
Palau,Digital Residency Program,30
Panama,Contratado en Puesto de Confianza Ejecutivo Experto Empresa Zona Franca,30
Panama,Contratado en Puestos de Confianza Ejecutivos Expertos y/o Tecnicos en Empresas de Centros de Llamadas de Uso Comercial,30
Panama,Convenio Panamá Italia,30
Panama,Docente de la Fundación Ciudad delSaber,30
Panama,Empleado de Empresas de Aviación,30
Panama,Empleado de Subcontratista de Empresa bajo Contrato con la ACP,30
Panama,Empresario o Ejecutivo de la Fundación Ciudad del Saber,30
Panama,Estudiantes o Cadetes Becados por Instituciones de Seguridad Pública,30
Panama,Extranjero Contratado Empresa Industria Cinematográfica y Audiovisual,30
Panama,Misionero Laico al Servicio de la Iglesia Católica y Ortodoxa,30
Panama,Participante Extranjero del Programa Fullbright de Intercambio Educativo y Cultural,30
Panama,Personal Contratado como Corresponsal de Prensa Escrita Radial o Televisiva Internacional,30
Panama,Personal Contratado como Ejecutivos de Companias Internacionales cuyas funciones surten efectos en el Extranjero,30
Panama,Personal Contratado por Empresas en virtud del Acuerdo Marrakech,30
Panama,Personal Experto o Técnico dentro del 15% Personal Ordinario,30
Panama,Personal Extranjero Contratado por el Gobierno Nacional o Entidades Autónomas o Semiautónomas,30
Panama,Por Regularización Migratoria General (Crisol de Razas),30
Panama,Profesional del Deporte,30
Panama,Temporal por Razones de Educación,30
